"trip_id","start_time","end_time","headway_secs","exact_times"
"trip_2603280921_09925","06:00:00","10:00:00","60","0"
"trip_2603280921_09925","10:00:00","17:00:00","60","0"
"trip_2603280921_09925","17:00:00","20:00:00","60","0"
"trip_2603280921_09925","20:00:00","24:00:00","60","0"
"trip_2603280921_93759","06:00:00","10:00:00","60","0"
"trip_2603280921_93759","10:00:00","17:00:00","60","0"
"trip_2603280921_93759","17:00:00","20:00:00","60","0"
"trip_2603280921_93759","20:00:00","24:00:00","60","0"
"trip_2603280921_32488","06:00:00","10:00:00","60","0"
"trip_2603280921_32488","10:00:00","17:00:00","60","0"
"trip_2603280921_32488","17:00:00","20:00:00","60","0"
"trip_2603280921_32488","20:00:00","24:00:00","60","0"
"trip_2603280921_30661","06:00:00","10:00:00","60","0"
"trip_2603280921_30661","10:00:00","17:00:00","60","0"
"trip_2603280921_30661","17:00:00","20:00:00","60","0"
"trip_2603280921_30661","20:00:00","24:00:00","60","0"
"trip_2603280921_82395","06:00:00","10:00:00","60","0"
"trip_2603280921_82395","10:00:00","17:00:00","60","0"
"trip_2603280921_82395","17:00:00","20:00:00","60","0"
"trip_2603280921_82395","20:00:00","24:00:00","60","0"
"trip_2603280921_74199","06:00:00","10:00:00","60","0"
"trip_2603280921_74199","10:00:00","17:00:00","60","0"
"trip_2603280921_74199","17:00:00","20:00:00","60","0"
"trip_2603280921_74199","20:00:00","24:00:00","60","0"
"trip_2603280921_52025","06:00:00","10:00:00","60","0"
"trip_2603280921_52025","10:00:00","17:00:00","60","0"
"trip_2603280921_52025","17:00:00","20:00:00","60","0"
"trip_2603280921_52025","20:00:00","24:00:00","60","0"
"trip_2603280921_55785","06:00:00","10:00:00","60","0"
"trip_2603280921_55785","10:00:00","17:00:00","60","0"
"trip_2603280921_55785","17:00:00","20:00:00","60","0"
"trip_2603280921_55785","20:00:00","24:00:00","60","0"
"trip_2603280921_33656","06:00:00","10:00:00","60","0"
"trip_2603280921_33656","10:00:00","17:00:00","60","0"
"trip_2603280921_33656","17:00:00","20:00:00","60","0"
"trip_2603280921_33656","20:00:00","24:00:00","60","0"
"trip_2603280921_05397","06:00:00","10:00:00","60","0"
"trip_2603280921_05397","10:00:00","17:00:00","60","0"
"trip_2603280921_05397","17:00:00","20:00:00","60","0"
"trip_2603280921_05397","20:00:00","24:00:00","60","0"
"trip_2603280921_10374","06:00:00","10:00:00","60","0"
"trip_2603280921_10374","10:00:00","17:00:00","60","0"
"trip_2603280921_10374","17:00:00","20:00:00","60","0"
"trip_2603280921_10374","20:00:00","24:00:00","60","0"
"trip_2603280921_38571","06:00:00","10:00:00","60","0"
"trip_2603280921_38571","10:00:00","17:00:00","60","0"
"trip_2603280921_38571","17:00:00","20:00:00","60","0"
"trip_2603280921_38571","20:00:00","24:00:00","60","0"
"trip_2603280921_50211","06:00:00","24:00:00","60","0"
"trip_2603280921_31946","06:00:00","24:00:00","60","0"
"trip_2603280921_93069","06:00:00","24:00:00","60","0"
"trip_2603280921_88118","06:00:00","24:00:00","60","0"
"trip_2603280921_95188","06:00:00","24:00:00","60","0"
"trip_2603280921_54829","06:00:00","24:00:00","60","0"
"trip_2603280921_64722","06:00:00","24:00:00","60","0"
"trip_2603280921_13245","06:00:00","24:00:00","60","0"
"trip_2603280921_32557","06:00:00","24:00:00","60","0"
"trip_2603280921_70061","06:00:00","24:00:00","60","0"
"trip_2603280921_38987","06:00:00","24:00:00","60","0"
"trip_2603280921_26556","06:00:00","24:00:00","60","0"

